
2024/01/30 (09:08:19) | ===> btop++ v.1.3.0
2024/01/30 (09:08:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/30 (09:08:34) | ===> btop++ v.1.3.0
2024/01/30 (09:08:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/30 (10:20:24) | ===> btop++ v.1.3.0
2024/01/30 (10:20:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/30 (10:23:02) | ===> btop++ v.1.3.0
2024/01/30 (10:23:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/30 (23:59:41) | ===> btop++ v.1.3.0
2024/01/30 (23:59:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/31 (12:22:56) | ===> btop++ v.1.3.0
2024/01/31 (12:22:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/07 (16:02:34) | ===> btop++ v.1.3.0
2024/02/07 (16:02:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/07 (16:31:41) | ===> btop++ v.1.3.0
2024/02/07 (16:31:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/07 (16:36:48) | ===> btop++ v.1.3.0
2024/02/07 (16:36:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/09 (11:28:20) | ===> btop++ v.1.3.0
2024/02/09 (11:28:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/09 (13:34:27) | ===> btop++ v.1.3.0
2024/02/09 (13:34:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
